YAL068C	chr1	-	1806	2169	1806	2169	1	1806,	2169,	n/a
YAL067W-A	chr1	+	2479	2707	2479	2707	1	2479,	2707,	n/a
YAL067C	chr1	-	7235	9017	7235	9017	1	7235,	9017,	P39709
YAL064W-B	chr1	+	12046	12427	12046	12427	1	12046,	12427,	O13512
YAL064C-A	chr1	-	13363	13744	13363	13744	1	13363,	13744,	n/a
YAL064W	chr1	+	21525	21852	21525	21852	1	21525,	21852,	P39711
YAL063C-A	chr1	-	22396	22687	22396	22687	1	22396,	22687,	n/a
YAL063C	chr1	-	24000	27969	24000	27969	1	24000,	27969,	P39712
YAL062W	chr1	+	31567	32941	31567	32941	1	31567,	32941,	P39708
YAL061W	chr1	+	33448	34702	33448	34702	1	33448,	34702,	P39713
YAL060W	chr1	+	35155	36304	35155	36304	1	35155,	36304,	P39714
YAL059W	chr1	+	36509	37148	36509	37148	1	36509,	37148,	P39715
YAL058W	chr1	+	37464	38973	37464	38973	1	37464,	38973,	P27825
YAL056W	chr1	+	39259	41803	39259	41803	1	39259,	41803,	P39717
YAL055W	chr1	+	42176	42719	42176	42719	1	42176,	42719,	P39718
YAL054C	chr1	-	42880	45022	42880	45022	1	42880,	45022,	Q01574
YAL053W	chr1	+	45898	48250	45898	48250	1	45898,	48250,	P39719
YAL051W	chr1	+	48563	51752	48563	51752	1	48563,	51752,	P39720
YAL049C	chr1	-	51856	52597	51856	52597	1	51856,	52597,	P39721
YAL048C	chr1	-	52802	54791	52802	54791	1	52802,	54791,	P39722
YAL047C	chr1	-	54990	56859	54990	56859	1	54990,	56859,	P39723
YAL046C	chr1	-	57030	57387	57030	57387	1	57030,	57387,	P39724
YAL044W-A	chr1	+	57519	57852	57519	57852	1	57519,	57852,	n/a
YAL044C	chr1	-	57951	58464	57951	58464	1	57951,	58464,	P39726
YAL043C	chr1	-	58696	61054	58696	61054	1	58696,	61054,	Q01329
YAL042W	chr1	+	61317	62565	61317	62565	1	61317,	62565,	P39727
YAL041W	chr1	+	62841	65406	62841	65406	1	62841,	65406,	P11433
YAL040C	chr1	-	65779	67522	65779	67522	1	65779,	67522,	P13365
YAL039C	chr1	-	68717	69527	68717	69527	1	68717,	69527,	P06182
YAL038W	chr1	+	71787	73290	71787	73290	1	71787,	73290,	P00549
YAL037C-A	chr1	-	73427	73520	73427	73520	1	73427,	73520,	n/a
YAL037W	chr1	+	74021	74825	74021	74825	1	74021,	74825,	P39728
YAL036C	chr1	-	75044	76154	75044	76154	1	75044,	76154,	P39729
YAL035W	chr1	+	76428	79437	76428	79437	1	76428,	79437,	P39730
YAL034W-A	chr1	+	79719	80589	79719	80589	1	79719,	80589,	P39731
YAL034C	chr1	-	80711	81953	80711	81953	1	80711,	81953,	P28003
YAL033W	chr1	+	82707	83229	82707	83229	1	82707,	83229,	P28005
YAL032C	chr1	-	83336	84476	83336	84476	1	83336,	84476,	P28004
YAL031C	chr1	-	84750	87033	84750	87033	1	84750,	87033,	P39732
YAL030W	chr1	+	87287	87754	87287	87754	2	87287,87502,	87389,87754,	P31109
YAL029C	chr1	-	87856	92272	87856	92272	1	87856,	92272,	P32492
